,class,ip
0,class0,185.42.206.251
1,class0,52.223.200.157
2,class1,185.42.206.203
3,class0,185.42.206.102
4,class2,185.42.206.169
5,class0,99.181.65.176
6,class3,185.42.206.113
7,class1,185.42.206.167
8,class2,185.42.206.172
9,class2,52.223.195.241
10,class5,185.42.206.249
11,class1,185.42.206.243
12,class2,52.223.195.99
13,class4,52.223.195.197
14,class3,52.223.195.152
15,class5,185.42.206.111
16,class0,185.42.206.73
17,class3,52.223.195.176
18,class4,185.42.205.240
19,class5,185.42.206.173
20,class2,52.223.200.37
21,class5,185.42.204.68
22,class4,52.223.195.249
23,class3,185.42.206.236
24,class3,185.42.206.238
25,class2,185.42.206.106
26,class3,52.223.195.195
27,class5,185.42.204.146
28,class1,185.42.206.183
29,class3,185.42.207.114
30,class5,185.42.207.117
31,class1,185.42.206.142
32,class3,99.181.66.215
33,class1,185.42.206.216
34,class0,185.42.206.154
35,class5,185.42.206.69
36,class4,99.181.67.239
37,class5,185.42.206.245
38,class3,185.42.206.165
39,class2,185.42.206.159
40,class1,185.42.206.141
41,class5,185.42.207.102
42,class3,185.42.206.178
43,class0,185.42.206.136
44,class2,185.42.207.250
45,class3,185.42.206.145
46,class2,185.42.204.101
47,class4,185.42.206.140
48,class5,52.223.197.249
49,class3,185.42.206.151
50,class4,99.181.65.240
51,class3,185.42.206.149
52,class0,52.223.195.43
53,class1,185.42.207.101
54,class1,185.42.206.242
55,class1,99.181.65.177
56,class4,185.42.207.200
57,class0,185.42.204.73
58,class0,185.42.205.234
59,class0,185.42.206.237
60,class0,99.181.65.217
61,class3,99.181.65.166
62,class4,185.42.206.72
63,class4,185.42.207.226
64,class1,52.223.195.74
65,class2,185.42.207.205
66,class4,185.42.205.66
67,class3,99.181.64.93
68,class4,99.181.67.206
69,class2,185.42.206.123
70,class2,52.223.195.222
71,class2,52.223.195.122
72,class1,185.42.207.169
73,class1,185.42.207.121
74,class2,185.42.204.249
75,class4,52.223.195.89
76,class4,185.42.207.208
77,class5,99.181.65.150
78,class2,99.181.67.163
79,class0,185.42.205.87
80,class1,185.42.206.239
81,class2,99.181.67.250
82,class2,185.42.204.100
83,class5,52.223.195.77
84,class3,185.42.207.148
85,class1,52.223.200.93
86,class0,52.223.200.155
87,class2,185.42.207.125
88,class0,99.181.67.108
89,class2,52.223.200.39
90,class4,185.42.204.248
91,class4,52.223.195.75
92,class2,99.181.65.218
93,class1,99.181.67.147
94,class4,185.42.207.118
95,class1,52.223.200.71
96,class4,99.181.66.186
97,class1,185.42.207.224
98,class5,185.42.204.70
99,class5,99.181.67.219
100,class4,185.42.207.247
101,class2,185.42.204.77
102,class0,52.223.200.168
103,class0,99.181.65.230
104,class1,185.42.207.232
105,class3,52.223.195.178
106,class3,185.42.207.110
107,class2,99.181.67.171
108,class1,99.181.66.52
109,class2,185.42.205.195
110,class1,52.223.195.112
111,class4,185.42.204.238
112,class4,185.42.204.203
113,class3,52.223.195.252
114,class4,185.42.205.103
115,class1,185.42.205.46
116,class3,52.223.195.175
117,class5,185.42.207.182
118,class2,185.42.206.79
119,class2,52.223.195.201
120,class1,185.42.205.19
121,class1,185.42.205.213
122,class5,52.223.195.27
123,class1,52.223.195.234
124,class0,185.42.205.187
125,class5,185.42.204.60
126,class3,52.223.195.65
127,class0,99.181.67.241
128,class3,52.223.195.78
129,class4,185.42.204.110
130,class2,185.42.206.15
131,class0,99.181.67.142
132,class1,185.42.204.174
133,class2,185.42.205.205
134,class1,52.223.200.52
135,class1,185.42.204.42
136,class3,185.42.205.11
137,class3,185.42.204.19
138,class0,99.181.66.54
139,class0,185.42.207.239
140,class4,185.42.205.137
141,class3,99.181.65.187
142,class2,52.223.195.66
143,class0,185.42.204.117
144,class0,52.223.195.68
145,class1,52.223.195.111
146,class1,185.42.207.183
147,class4,99.181.66.40
148,class1,99.181.66.15
149,class0,99.181.66.178
150,class3,52.223.195.55
151,class2,99.181.67.209
152,class0,185.42.207.177
153,class5,99.181.66.11
154,class5,52.223.195.207
155,class4,185.42.205.146
156,class4,52.223.195.198
157,class3,185.42.205.202
158,class4,52.223.195.64
159,class4,99.181.66.47
160,class2,185.42.204.153
161,class3,185.42.205.189
162,class1,52.223.195.81
163,class3,52.223.195.29
164,class5,185.42.204.75
165,class5,99.181.66.6
166,class5,52.223.195.170
167,class5,99.181.64.11
168,class0,99.181.64.46
169,class3,52.223.195.35
170,class1,99.181.65.135
171,class5,185.42.205.248
172,class1,185.42.207.92
173,class4,52.223.200.166
174,class3,99.181.65.216
175,class1,99.181.67.236
176,class5,99.181.65.207
177,class5,185.42.207.170
178,class0,185.42.205.212
179,class0,185.42.207.44
180,class0,52.223.195.233
181,class5,185.42.207.100
182,class3,52.223.200.122
183,class5,185.42.207.228
184,class4,52.223.195.181
185,class1,185.42.204.24
186,class1,185.42.204.125
187,class5,52.223.195.217
188,class2,99.181.67.249
189,class3,185.42.205.97
190,class4,185.42.204.107
191,class3,52.223.200.45
192,class3,52.223.195.36
193,class2,52.223.195.51
194,class0,185.42.205.37
